ID ,Finished Part Number ,QPE,Forging Part Number ,INTERNAL PART ID,LTA QUOTE NUMBER,QUOTE # IN VISUAL,Nomenclature ,"LTA COS - Finished Part L (+.010 Tol.) ","LTA COS - Finished Part ID (-.005 Tol.) ",LTA COS - Finished Part OD (+.005 Tol.) ,Material  Name ,Material Spec/Class,Drawing/Contour ,Winning Supplier ,2016 Price ,2017 Price ,YOY ,Mat. Type,EP,VSE Initiated,VSE Phase ,Order Received From Machining Source (Y/N),Date Machine Shop PO Received,Required Date for 1st Delivery,MACHINING SOURCE,"Mach Shop COS - Finished Part L (+.010 Tol.) ","Mach Shop COS - Finished Part ID (-.005 Tol.) ",Mach Shop COS - Finished Part OD (+.005 Tol.) ,Agreed Upon Shape (Y/N),Billet Commit Date,Supplier Commit ,First Shipment Quantity,Production Lead Time,COMMENTS,PO IN PLACE Y/N,QUALIFICATIION REQUIREMENTS
143,2461M69P01,1,2461M69P01.000R,1217179,192643,200896,"SEAL, STATIONARY, OIL-NUMBER 4 BEAR",1.3172,6.195,8.505,A-286,AMS 5734,,Alcoa Rochester,$219,$208 ,5%,A286,Leap-1B/ AC,,,Y,9/29/15,2/8/16,Paradigm Tempe,1.317,6.195,8.505,Y,,,20,TBD,"BTF SENT TO KATIE SHAW FOR REVIEW 8/10 - ADDED PPHT - NEW PRICE $267 EA. - GE APPROVED BTF, CE TO UPDATE QUOTE 8/12",Y,NEW QUALIFICATION
145,2548M16G01  ,1,2548M16G01.003R,1215694,204567,,"SEAL, STATIONARY - HIGH PRESSURE TU",0.92,11.64,13.61,GTD222,B50TF279 CL-B,,Alcoa Rochester,$743,$706 ,5%,GTD222,Leap-1B,,,N,6/29/15,11/1/15,Xian  40% / Liming 20%,0.72,11.67,13.41,Y,,,,6 WEEKS,PO in place from Shenyang/Liming.  No po from Xian.  Liming and Xian agreed on new dimensions proposed.  New baseline quote is 204567.  Sent to GE on 9/28.  Old PN is 4013733-958P01,Y,NEW QUALIFICATION
148,2521M46P01,1,2521M46P01.000R,1216956,204622,187706,"SEAL, INNER- FORWARD, TRANSITION DU",1.575,14.571,17.135,HS188,B50TF74 CL-A,YES,Alcoa Rochester,"$1,305","$1,240 ",5%,HS188,Leap-1B,84473-VSE-14-03246,UNDER REVIEW,N,10/9/14,TBD,TRIUMPH FABRICATIONS,1.564,14.576,17.13,Y,N/A,N/A,7,6 WEEKS,PO IN PLACE FOR TRIUMPH - MADE FIRST SHIPMENT MARCH 2015 - NEED TO CHANGE OVER TO CONTOUR DESIGN - REC RINGS IN PROCESS.  Triumph accepted contour design on 9/22. Formal quote sent to Triumph on 9/30. 204622,N,NEW QUALIFICATION
153,2548M31G01,1,2548M31G01.002R,1217018/1217119,192653,196655/201540,"SEAL, CDP-STATOR",0.675,9.629,11.46,"718 Plus","B50TF317 CL-A",,Alcoa Rochester,$393,$373 ,5%,I718+,Leap-1B,NO,N/A,Y,7/13/15,9/30/15,TRIUMPH SAN DIEGO,1.92,9.18,12.77,Y,,10/2/15,9,6 WEEKS,No PO from Triumph. ,Y,NEW QUALIFICATION
160,2545M03P01,1,2545M03P01.000R,1217181,192660,204230,"SCREEN, WINDAGE- NUMBER 4R BEARING",0.55,7.095,8.365,17-4 PH,"AMS 5643, AMS 2759/3 ",,Alcoa Rochester,$53,$50 ,5%,17-4PH,Leap-1B/ AC,,,Y,9/29/15,2/3/16,B&F ,0.55,7.095,8.365,Y,,,4,TBD,PO FROM B&F,Y,NEW QUALIFICATION
161,2469M73G01,1,2469M73P01.002R,TBD,192661,,"NUT, LOCKING - NUMBER 3 BEARINGS",3.174,4.342,5.74,410 Stainless,AMS 5613,,Alcoa Rochester,$102,$97 ,5%,410 Stainless,LEAP A/C,,,N,,,Moeller 70% / McMellon 30%,,,,,,,TBD,TBD,,,NEW QUALIFICATION
168,2464M25G02,1,2464M25P03.004R,TBD,196018,,Impingement Ring ,0.503,23.044 �,23.794 �,Hast-X,AMS 5536 or AMS5754,,Alcoa Rochester,$265,$252 ,5%,HastX,LEAP A/C,,,N,,,Jean Gallay ,,,,,,,TBD,TBD,,,NEW QUALIFICATION
169,2464M25G02,1,2464M25P04.005R,TBD,196019,,Impingement Ring ,0.586,23.200 �,24.174 �,Hast-X,AMS 5536 or AMS5754,,Alcoa Rochester,$316,$300 ,5%,HastX,LEAP A/C,,,N,,,Jean Gallay ,,,,,,,TBD,TBD,,,NEW QUALIFICATION
ADD,2468M97P01,1,2468M97P01.000R,1216836,197130,179958,STG 4 SHROUD LEAP X,1.557,19.511,20.208,#N/A,C50TF68 CL-B,,Alcoa Rochester,$323,$307 ,5%,M152,LEAP A/C,59192-VSE-14-05781,PENDING,Y (Spacecraft),,,"Space Craft 50%, METRO MACHINE 50%",1.557,19.511,20.208,Y,N/A,N/A,2,6 WEEKS,GE has not released schedules to Metro yet. ,N,N/A
ADD,2468M97P01,1,2468M97P01.000R,1216836,197130,179958,STG 4 SHROUD LEAP X,1.557,19.511,20.208,#N/A,C50TF68 CL-B,,Alcoa Rochester,$323,$307 ,5%,M152,LEAP A/C,59192-VSE-14-05781,PENDING,Y (Spacecraft),,,"Space Craft 50%, METRO MACHINE 50%",1.557,19.511,20.208,Y,N/A,N/A,2,6 WEEKS,GE has not released schedules to Metro yet. ,N,N/A
ADD,2468M97P02,1,2468M97P01.000R,1216836,197130,179958,STG 4 SHROUD LEAP X,1.557,19.511,20.208,#N/A,C50TF68 CL-B,,Alcoa Rochester,$323,$307 ,5%,M152,LEAP A/C,59192-VSE-14-05781,PENDING,Y (Spacecraft),,,"Space Craft 50%, METRO MACHINE 50%",1.557,19.511,20.208,Y,N/A,N/A,2,6 WEEKS,GE has not released schedules to Metro yet. ,N,N/A
ADD,2468M97P02,1,2468M97P01.000R,1216836,197130,179958,STG 4 SHROUD LEAP X,1.557,19.511,20.208,#N/A,C50TF68 CL-B,,Alcoa Rochester,$323,$307 ,5%,M152,LEAP A/C,59192-VSE-14-05781,PENDING,Y (Spacecraft),,,"Space Craft 50%, METRO MACHINE 50%",1.557,19.511,20.208,Y,N/A,N/A,2,6 WEEKS,GE has not released schedules to Metro yet. ,N,N/A
ADD,2468M97P03,1,2468M97P01.000R,1216836,197130,179958,STG 4 SHROUD LEAP X,1.557,19.511,20.208,#N/A,C50TF68 CL-B,,Alcoa Rochester,$323,$307 ,5%,M152,LEAP A/C,59192-VSE-14-05781,PENDING,Y (Spacecraft),,,"Space Craft 50%, METRO MACHINE 50%",1.557,19.511,20.208,Y,N/A,N/A,2,6 WEEKS,GE has not released schedules to Metro yet. ,N,N/A
ADD,2468M97P03,1,2468M97P01.000R,1216836,197130,179958,STG 4 SHROUD LEAP X,1.557,19.511,20.208,#N/A,C50TF68 CL-B,,Alcoa Rochester,$323,$307 ,5%,M152,LEAP A/C,59192-VSE-14-05781,PENDING,Y (Spacecraft),,,"Space Craft 50%, METRO MACHINE 50%",1.557,19.511,20.208,Y,N/A,N/A,2,6 WEEKS,GE has not released schedules to Metro yet. ,N,N/A
ADD,2468M97P04,1,2468M97P01.000R,1216836,197130,179958,STG 4 SHROUD LEAP X,1.557,19.511,20.208,#N/A,C50TF68 CL-B,,Alcoa Rochester,$323,$307 ,5%,M152,LEAP A/C,59192-VSE-14-05781,PENDING,Y (Spacecraft),,,"Space Craft 50%, METRO MACHINE 50%",1.557,19.511,20.208,Y,N/A,N/A,2,6 WEEKS,GE has not released schedules to Metro yet. ,N,N/A
ADD,2468M97P04,1,2468M97P01.000R,1216836,197130,179958,STG 4 SHROUD LEAP X,1.557,19.511,20.208,#N/A,C50TF68 CL-B,,Alcoa Rochester,$323,$307 ,5%,M152,LEAP A/C,59192-VSE-14-05781,PENDING,Y (Spacecraft),,,"Space Craft 50%, METRO MACHINE 50%",1.557,19.511,20.208,Y,N/A,N/A,2,6 WEEKS,GE has not released schedules to Metro yet. ,N,N/A
ADD,2468M97P05,1,2468M97P01.000R,1216836,197130,179958,STG 4 SHROUD LEAP X,1.557,19.511,20.208,#N/A,C50TF68 CL-B,,Alcoa Rochester,$323,$307 ,5%,M152,LEAP A/C,59192-VSE-14-05781,PENDING,Y (Spacecraft),,,"Space Craft 50%, METRO MACHINE 50%",1.557,19.511,20.208,Y,N/A,N/A,2,6 WEEKS,GE has not released schedules to Metro yet. ,N,N/A
ADD,2468M97P05,1,2468M97P01.000R,1216836,197130,179958,STG 4 SHROUD LEAP X,1.557,19.511,20.208,#N/A,C50TF68 CL-B,,Alcoa Rochester,$323,$307 ,5%,M152,LEAP A/C,59192-VSE-14-05781,PENDING,Y (Spacecraft),,,"Space Craft 50%, METRO MACHINE 50%",1.557,19.511,20.208,Y,N/A,N/A,2,6 WEEKS,GE has not released schedules to Metro yet. ,N,N/A
ADD,2468M97P06,1,2468M97P01.000R,1216836,197130,179958,STG 4 SHROUD LEAP X,1.557,19.511,20.208,#N/A,C50TF68 CL-B,,Alcoa Rochester,$323,$307 ,5%,M152,LEAP A/C,59192-VSE-14-05781,PENDING,Y (Spacecraft),,,"Space Craft 50%, METRO MACHINE 50%",1.557,19.511,20.208,Y,N/A,N/A,2,6 WEEKS,GE has not released schedules to Metro yet. ,N,N/A
ADD,2468M97P06,1,2468M97P01.000R,1216836,197130,179958,STG 4 SHROUD LEAP X,1.557,19.511,20.208,#N/A,C50TF68 CL-B,,Alcoa Rochester,$323,$307 ,5%,M152,LEAP A/C,59192-VSE-14-05781,PENDING,Y (Spacecraft),,,"Space Craft 50%, METRO MACHINE 50%",1.557,19.511,20.208,Y,N/A,N/A,2,6 WEEKS,GE has not released schedules to Metro yet. ,N,N/A
ADD,2542M53P01,1,2542M53P01.000R,TBD,191823,,"RING, RETAINING - KEYED",,,,,,,Alcoa Rochester,,,,,,,,N,,,Avitron 55% / EGAP 15%,,,,,,,,,TRANSFER FROM SUZHOU TO ROCHESTER DUE TO SIZE - WORKING TO CONFIRM COS WITH BOTH MACH SOURCES,N,NEW QUALIFICATION
108,2469M75P01,1,2469M75P01.000R,1217164,190164,202851,"NUT, ROUND, OUTER - BALL BEARING NU",0.61,7.6,8.28,,AMS 6414,,Alcoa Rochester,$41 ,$39 ,5%,4340,LEAP A/C,,,Y,8/28/15,10/9/15,MCMELLON BROS,0.61,7.6,8.28,Y,,,,,PO RECEIVED FROM MCMELLON BROS,Y,NEW QUALIFICATION
111,2542M43P02,1,2542M43P01.00R,1217165,190167,202740,"NUT PLAIN, ROUND -NUMBER 3 BALL BEA",0.61,7.195,7.88,,AMS 6414,,Alcoa Rochester,$41 ,$39 ,5%,4340,LEAP 1B,,,Y,8/28/15,10/9/15,MCMELLON BROS,0.61,7.195,7.88,Y,,,,,PO RECEIVED FROM MCMELLON BROS,Y,NEW QUALIFICATION
117,2547M12P01,1,2547M12P01.000R,1216228,190173,,"NUT, COUPLING - HPT ROTOR",,,,,,,Alcoa Rochester,126,120,,,LEAP 1B,,,N,,,EGAT   ,,,,,,,,,TRANSFER FROM SUZHOU TO ROCHESTER DUE TO SIZE,,NEW QUALIFICATION
96,2596M88G01,1,2596M89G01.002R,1217117,201485,201485,"SEAL, PRESSURE BALANCE",1.829,14.722,17.138,I718,B50TF15 CL-D,,Alcoa Rochester,"$1,340","$1,273 ",5%,I718,LEAP A/C,,,Y,7/29/15,10/15/15,EMI ,1.829,14.722,17.1138,Y,8/24/15,10/13/15,48,6 WEEKS,EMI PLACED ORDER - Moved M86 TO M89 - UPDATED COS DATA AND PRICING IN TRACKER AS PART of GE proposal presented on 7/21 to GE by Zorko. -  - P02 GOING TO FONTANA,Y,NEW QUALIFICATION
141,2482M28P02,,2482M28P02.000W,1217182,192641,201830,"RETAINER, TRANSITION DUCT",0.255,16.415,16.865,,,,,,,,,,,,Y,9/29/15,1/3/16,B&F,0.255,16.415,16.865,Y,,,4,,GE AWARDED 100% VOLUME  Q#203116 - PO FROM B&F,Y,NEW QUALIFICATION
ADD,2552M24P01-P06,,2552M24P01-P06,1217180,203292,203968,,1.531,18.67,19.366,,,,,440,418,5%,,,,,Y,9/24/15,11/6/15,SPACECRAFT/METRO,1.531,18.67,19.366,Y,,,12,,ADDED BASED ON AWARD - RECEVIED PO FROM METRO MACHINE WORKS,Y,NEW QUALIFICATION
ADD,2665M15P01,,,1217071,198990,198990,,,,,,,,,,,,,,,,Y,6/2/15,9/5/15,TRIUMPH,5.496,16.542,21.168,Y,,,,,PARTS COMPLETED - PENDING VSE APPROVAL,Y,NEW QUALIFICATION
ADD,2665M15P02,,,1217072,198991,198991,,,,,,,,,,,,,,,,Y,6/2/15,9/5/15,TRIUMPH,4.66,16.542,18.33,Y,,,,,PARTS COMPLETED - PENDING VSE APPROVAL,Y,NEW QUALIFICATION
ADD,2466M55P01,,,1216220,201648,,,,,,,,,,,,,,,07312-VSE-14-01192,SERIAL NUMBER RELEASE,Y,,,,,,,,,,,,,,SERIAL NUMBER RELEASE
