Engine Program,Sub Commodity Ldr,Production or Development,Any commitment for Production made?,Forging Part Number,Forging Supplier,Nomenclature,First due date,Alloy,Size,Weight,QTY,Billet Price,Price,Target Price,Target Weight,Target Billet Price,PO,Quoting Suppliers (Forging),Forging Price Analysis,Comments,Date,Finished P/N,Machine Shop,Engineer,On Score Card,Engine Module,
Passport 20,Bierman,Development,No,4013727-205P01,Forged Metals,HPC Case,3/31/12,I718,"10 ",370,15,$15.45,"$7,325","$4,100",-,-,90A31441,"Firth, Frisa, Carlton",lowest bidder,,12/14/11,2484M74G01,Capo Indust.,Brian Lutz,-,HPC,
Passport 20,Bierman,Development,No,4013731-140P01,Frisa,Splitter Air Flow,4/16/12,TI 6-4,"8 ",216,18,$13.74," $4,275.00 ",,,$14,1XQ15401,"Frisa, Carlton, Firth",lowest bidder,need print updated to add VSE,1/17/12,2480M95G01,B & F,Randy Prather,-,Fan,
Passport 20,Bierman,Development,No,2094M87P01,Carlton Forge,Aft. Mt. Ring,6/29/12,P Ti 6-4,"12 ",535,18,$22.30," $18,925.00 ",,,,90Q15423,"Firth, Carlton",lowest bidder,,3/22/12,2094M68P01,TBD,Larry Meyer,-,Mounts,
Passport 20,Bierman,Development,No,4013728-257P01,Carlton Forge,FINS Forging (fwd flange),6/4/12,I718+,"8 ",54,20,$17.00," $1,760.00 ",,,,90Q15418,Firth/Carlton,lowest bidder,,2/23/12,2460M71P01,"Paradigm, Malden",Kris Nika,-,CDN,
Passport 20,Bierman,Development,No,4013728-258P01,Schlosser Forge,FOS Forging (inner),5/18/12,I783,"8 ",69,20,$37.00," $3,839.00 ",,,,90Q15419,Firth/Carlton,lowest bidder,,2/23/12,2462M58P02,Twigg,Kris Nika,-,CDN,
Passport 20,Bierman,Development,No,4013725-380P01,Schlosser Forge,FOS OD Flange,5/18/12,GTD222,"10 ",84,20,$24.84," $2,845.00 ",,,,90Q15420,Firth/Carlton,lowest bidder,,2/23/12,2462M58P01,Twigg,Kris Nika,-,CDN,
Passport 20,Bierman,Development,No,4013727-207P01,Schlosser Forge,Stg. 8-9 HPC Case,6/25/12,I718,"8 ",122,18,$13.39,"$2,272.00 ",,,,90Q15413,"Firth, Carlton, WRP",lowest bidder,,2/13/12,2484M79G01,Gentz Aero,Brian Lutz,-,HPC,
Passport 20,Bierman,Development,No,4013727-208P01,Schlosser Forge,Stg. 8 HPC Case,6/25/12,I718,"8 ",84,18,$13.39,"$1,704.00 ",,,,90Q15413,"Firth, Carlton, WRP",lowest bidder,,2/13/12,2484M78G01,Gentz Aero,Brian Lutz,-,HPC,
Passport 20,Bierman,Development,No,4013727-209P01,Schlosser Forge,Stg. 7-8 HPC Case,6/25/12,I718,"8 ",156,18,$13.39,"$2,961.00 ",,,,90Q15413,"Firth, Carlton, WRP",lowest bidder,,2/13/12,2484M81G01,Gentz Aero,Brian Lutz,-,HPC,
Passport 20,Bierman,Development,No,4013727-210P01,Schlosser Forge,Stg. 6-7 HPC Case,6/25/12,I718,"8 ",114,18,$13.39,"$2,433.00 ",,,,90Q15413,"Firth, Carlton, WRP",lowest bidder,,2/13/12,2484M77G01,Gentz Aero,Brian Lutz,-,HPC,
Passport 20,Bierman,Development,No,4013727-211P01,Schlosser Forge,Stg. 5-6 HPC Case,6/25/12,I718,"8 ",111,18,$13.39,"$2,304.00 ",,,,90Q15413,"Firth, Carlton WRP",lowest bidder,,2/13/12,2484M76G01,Gentz Aero,Brian Lutz,-,HPC,
Passport 20,Bierman,Development,No,4013727-212P01,Schlosser Forge,Stg. 5 HPC Case,6/25/12,I718,"8 ",80,18,$13.39,"$1,639.00 ",,,,90Q15413,"Firth, Carlton, WRP",lowest bidder,,2/13/12,2484M75G01,Gentz Aero,Brian Lutz,-,HPC,
Passport 20,Bierman,Development,No,4013733-909P01,Carlton Forge,CDP Bolt Cover,6/1/12,I718+,"8 ",29,18,$19.75,"$1,255 ",,,,90Q15422,"Firth, Carlton",lowest bidder,Need print issued before shipment,2/28/12,2460M74P01,B & E Tool,Kris Nika,-,CDN,
Passport 20,Bierman,Development,No,2517M69P01,Firth Monroe,#3 Damper Housing,6/25/12,Ti 6-4,6',29,20,$18.00,$985.00 ,,,,90Q15441,"Frisa, Firth, Carlton",lowest bidder,,4/23/12,2485M33P01,Barnes-Phoenix,Rich Wainwright,-,Bearings / Sump,
Passport 20,Bierman,Development,No,2517M67P01,Frisa,#1 Bearing Housing,7/23/12,Ti 6-4,"12 ",637,20,$13.71,"$13,130 ",,,,90Q15439,"Frisa, Firth, Carlton",lowest bidder,,4/23/12,2483M03P01,FAST-China,Rich Wainwright,-,Bearings / Sump,
Passport 20,Bierman,Development,No,2517M68P01,Carlton Forge,#2 Bearing Housing,8/20/12,Ti 6-4,"12 ",143,20,$18.20,"$3,920.00 ",,,,90Q15440,"Frisa, Firth, Carlton",lowest bidder,,4/23/12,2483M13P01,B&E,Rich Wainwright,-,Bearings / Sump,
Passport 20,Bierman,Development,No,4013727-206P01 ,Schlosser Forge,Stg. 10 HPC Case,6/18/12,I718+,"8 ",257,20,$14.77,"$5,884.00 ",,,,90Q15414,"Firth, Carlton",lowest bidder,,2/14/12,2484M80P01,Gentz Aero,Brian Lutz,-,HPC,
Passport 20,Bierman,Development,No,4013727-206P02,Schlosser Forge,Stg. 10 HPC Case,7/2/12,I718,"8",250,6,$12.79,"$4,673 ",,,,90Q14414,"Firth, Carlton",lowest bidder,Back up if P01 is not acceptable,2/14/12,2484M80 Inner,Gentz Aero,Brian Lutz,-,HPC,
Passport 20,Bierman,Development,No,4013702-260P02,Schlosser Forge,Outer Liner,6/4/12,HS188,,817,6,$25.20,"$32,709.00 ",,,,90A31424 Am. 02,Schlosser Forge,VE Estimate,,2/20/12,2503M41G01,UEC-TH,Ben Tom,-,CDN,
Passport 20,Bierman,Development,No,4013702-260P03,Schlosser Forge,Outer Liner,6/4/12,HS188,,675,2,$25.20,"$27,888.00 ",,,,90A31424 Am. 02,Schlosser Forge,VE Estimate,,2/20/12,2503M41G01,UEC-TH,Ben Tom,-,CDN,
Passport 20,Bierman,Development,No,4013702-261P02,Schlosser Forge,Inner Liner,6/4/12,HS188,,471,6,$25.20,"$19,932.00 ",,,,90A31424 Am. 02,Schlosser Forge,VE Estimate,,2/20/12,2503M45P01,UEC-TH,Ben Tom,-,CDN,
Passport 20,Bierman,Development,No,2475M27P01,Carlton Forge,Fan Spinner Forging,7/13/12,Alum.,,109,20,$2.15,"$2,331.00 ",,,,9XQ15103,"Carlton, Weber, Firth",lowest bidder,,2/20/12,2480M91G01,Shenyang Liming,Andy Fedyszyn,-,FAN,
Passport 20,Bierman,Development,No,4013733-997P01,Schlosser Forge,FOS Inner Leg Forging,6/18/12,GTD222,"6 ",25,20,$28.87,"$3,505.00 ",,,,90Q15424,"Firth, Carlton",,"revisit price. Mach 10 to 6 ",3/21/12,2462M58G01,Twigg,Kris Nika,-,CDN,
Passport 20,Bierman,Development,No,2476M97P01,Firth Rixson-Monroe,"Bracket, Cowl Suppot",8/1/12,Ti 6-4,"10 ",152,20,$16.34,"$3,701.00 ",,,,90Q15443,Firth Carlton,lowest bidder,"5/9/12�OD size chg to 36.40 ",5/1/12,2480M98P01,Grosite-Ct.,Eli Kalaani,-,CDN,
Passport 20,Bierman,Development,No,4013733-968P01,TBD,FINS Forging,TBD,GTD222,,,20,,,,,,,"Firth, Carlton",,Bid close 3/15/2012,,,,Kris Nika,-,CDN,
Passport 20,Bierman,Development,No,2514M81P01,Firth Rixson-Monroe,Fwd Hanger,6/18/12,R41,"9.5 ",210,20,$16.31,"$5,875.00 ",,,,90Q15437 item 001,"Firth, Carlton",lowest bidder,,4/15/12,2474M09P01,EMI,Beth Baniszewski,-,TCF,
Passport 20,Bierman,Development,No,2514M82P01,Firth Rixson-Monroe,Fwd L Clip,6/18/12,R41,"6 ",42,20,$17.01,"$1,644.00 ",,,,90Q15437 item 002,"Firth, Carlton",lowest bidder,,4/15/12,2514M82P01,UEC-Poland,Beth Baniszewski,-,TCF,
Passport 20,Bierman,Development,No,2514M83P01,Carlton Forge,Aft Hanger,7/9/12,R41,,414,20,$16.00,"$11,450.00 ",,,,90Q15436 item 001,"Firth, Carlton",lowest bidder,,4/13/12,2474M13P01,EMI,Beth Baniszewski,-,TCF,
Passport 20,Bierman,Development,No,2514M84P01,Forged Metals,Split Fairing,6/18/12,HASTX,"6 ",44,20,$12.94,"$1,654.00 ",,,,90Q15438,"Firth, Carlton",lowest bidder,canclled�using M88 mat'l for F/P,4/15/12,,,Beth Baniszewski,-,TCF,
Passport 20,Bierman,Development,No,2514M85P01,Firth Rixson-Monroe,HPT Lab Seal,6/18/12,HS188,6',131,20,$21.41,"$4,929.00 ",,,,90Q15437 item 003,"Firth, Carlton",lowest bidder,,4/15/12,2474M12G01,Triumph,Beth Baniszewski,-,TCF,
Passport 20,Bierman,Development,No,2514M86P01,Carlton Forge,HPT Lab Seal,7/9/12,I718,,121,20,$15.00,"$2,930.00 ",,,,90Q15436 item 002,"Firth, Carlton",lowest bidder,,4/13/12,2474M12G01,Triumph,Beth Baniszewski,-,TCF,
Passport 20,Bierman,Development,No,2514M87P01,Carlton Forge,Fwd Plate Fwd,7/9/12,R41,,50,20,$16.00,"$2,085.00 ",,,,90Q15436 item 003,"Firth, Carlton",lowest bidder,,4/13/12,2498M26P01,TEI,Beth Baniszewski,-,TCF,
Passport 20,Bierman,Development,No,2514M88P01,Carlton Forge,Fwd Plate Aft,7/9/12,R41,,50,20,$16.00,"$2,085.00 ",,,,90Q15436 item 004,"Firth, Carlton",lowest bidder,,4/13/12,2498M27P01,Meyer/TEI,Beth Baniszewski,-,TCF,
Passport 20,Bierman,Development,No,2514M89P01,Carlton Forge,Mid Plate Fwd,7/9/12,R41,,70,20,$16.00,"$2,635 ",,,,90Q15436 item 005,"Firth, Carlton",lowest bidder,,4/13/12,2498M20P01,TEI,Beth Baniszewski,-,TCF,
Passport 20,Bierman,Development,No,2514M90P01,Carlton Forge,Mid Plate Aft,7/9/12,R41,,163,20,$16.00,"$4,660.00 ",,,,90Q15436 item 006,"Firth, Carlton",lowest bidder,,4/13/12,2474M15G01,Triumph,Beth Baniszewski,-,TCF,
Passport 20,Bierman,Development,No,2514M92P01,Carlton Forge,Mid Plate Aft,7/9/12,I718,,126,20,$15.00,"$3,137.00 ",,,,90Q15436 item 007,"Firth, Carlton",lowest bidder,,4/13/12,2474M15G01,Triumph,Beth Baniszewski,-,TCF,
Passport 20,Bierman,Development,No,2514M93P01,Carlton Forge,Aft Plate Fwd,7/9/12,R41,,161,20,$16.00,"$4,935.00 ",,,,90Q15436 item 008,"Firth, Carlton",lowest bidder,,4/13/12,2498M22P01,Triumph,Beth Baniszewski,-,TCF,
Passport 20,Bierman,Development,No,2514M94P01,Carlton Forge,Aft Plate Aft,7/9/12,R41,,72,20,$16.00,"$2,585.00 ",,,,90Q15436 item 009,"Firth, Carlton",lowest bidder,,4/13/12,2498M23P01,Triumph,Beth Baniszewski,-,TCF,
Passport 20,Bierman,Development,No,2514M97P01,Firth Rixson-Monroe,Seal Arm Fwd,6/18/12,R41,"6 ",69,20,$17.01,"$2,344.00 ",,,,90Q15437 item 004,"Firth, Carlton",lowest bidder,,4/15/12,2502M37P01,APPI,Beth Baniszewski,-,TCF,
Passport 20,Bierman,Development,No,4013733-966P01,Carlton Forge,Bolt Cover,7/20/12,R41,"9 ",85,20,$16.00,"$2,470.00 ",,,,90Q15433,"Firth, Carlton",lowest bidder,,4/6/12,2462M57P01,B&E,Kris Nika,-,CDN,
Passport 20,Bierman,Development,No,4013733-257P02,Schlosser Forge,Stg. 10 HPC Outer Ring,7/13/12,I718+,"12 ",159,20,"$14,67","$3,716.00 ",,,,90Q15426,Firth Carlton,lowest bidder,,3/28/12,2484M80 Outer,Gentz Aero,Brian Lutz,-,HPC,
Passport 20,Bierman,Development,No,4013733-028P01,Carlton Forge,IGV Ring Forging,8/17/12,Ti 6-4,"6 ",10,20,$18.95,$455.00 ,,,,90Q15445 item 001,"Firth, Carlton",lowest bidder,,5/11/12,2484M30,B&F,Fernando Salmon,-,HPC,
Passport 20,Bierman,Development,No,4013733-028P02,Firth Rixson-Monroe,Stg. 1 Actuating Ring,8/17/12,Ti 6-4,"6 ",11,20,$18.00,$432.00 ,,,,90Q15444 item 001,"Firth, Carlton",lowest bidder,,5/10/12,2484M31,B&F,Fernando Salmon,-,HPC,
Passport 20,Bierman,Development,No,4013733-028P03,Carlton Forge,Stg. 2 Actuating Ring,8/17/12,Ti 6-4,"6 ",9,20,$18.95,$440.00 ,,,,90Q15445 item 002,"Firth, Carlton",lowest bidder,,5/11/12,2484M32,B&F,Fernando Salmon,-,HPC,
Passport 20,Bierman,Development,No,4013733-028P04,Firth Rixson-Monroe,Stg. 3 Actuating Ring,8/17/12,Ti 6-4,"6 ",10,20,$18.00,$432.00 ,,,,90Q15444 item 002,"Firth, Carlton",lowest bidder,,5/10/12,2484M33,B&F,Fernando Salmon,-,HPC,
Passport 20,Bierman,Development,No,4013733-028P05,Carlton Forge,Stg. 4 Actuating Ring,8/17/12,17-4,"6 ",14,20,$3.15,$286.00 ,,,,90Q15445 item 004,"Firth, Carlton",lowest bidder,,5/11/12,2484M34,B&F,Fernando Salmon,-,HPC,
Passport 20,Bierman,Development,No,4013733-257P01,Schlosser Forge,Stg. 10 HPC Outer Ring,8/31/12,I718,"8 ",147,5,$13.39,"$3,035.00 ",,,,90Q15426 item 002,"Firth, Carlton",lowest bidder,Back up if P01 is not acceptable,5/8/12,2484M80,,Brian Lutz,-,HPC,
Passport 20,Bierman,Development,No,13.2 x 11.55 x 1.3,Firth Rixson-Monroe,Stationary Seal,11/19/12,I718,"6 ",25,20,$12.67,$655.00 ,,,,N/A,"Firth, Carlton",lowest bidder,Triump to place. Also needs a 909 forging,10/2/12,2497M84G01,Triumph,Ben Seppala,,,
Passport 20,Bierman,Development,No,2560M35P01,Carlton Forge,Damper Ring,3/29/13,I718P,"6 ",30,27,$14.15,"$1,049.00 ",,,,90H11507,"Carlton, Schlosser",lowest bidder,,1/28/13,2476M87P01/P02,TBD,Jeremy Ferguson,,,
Leap,Kiessling,Development,No,2466M57P01,Firth,HPT Aft Seal,8/1/12,718,8,198,,," $5,662.00 ",,,,,,,,,2466M56P01,,,Yes,HPT,
Leap,Kiessling,Development,No,2466M64P01,WGH,Aft Shaft,6/1/12,718,8,143,,," $4,250.00 ",,,,,,,,,,,,No,HPT,
Leap,Kiessling,Development,No,2468M29P01,firth,Stg 5 blisk,delivered,718,8,207,24,$13.20,"$5,682",,,,9SA31601,"CHENTECH,FIRTH,WGH",,,,,,,No,HPC,
Leap,Kiessling,Development,CANCELLED,2468M33P01,Chentech,stg 8,delivered,718,8,207,24,$13.20,"$5,682",,,,9SA31601,"CHENTECH,FIRTH,WGH",,,,Canceled,,,N/A,HPC,
Leap,Kiessling,Development,No,2468M75P01,WGH,Impeller Tube Spt,05/01/12,718,10,505,,,"$2,712",,,,,,,,,2468M47P01,,,Yes,HPC,
Leap & Passport,Kiessling,Development,No,2468M21P01,Chentech,Stg 5 Blisk & Stg 6 Disk for both,delivered,718,8,416,64,$11.78,"$10,050",,,,9SA31040," CHENTECH, firth",,,,,,,No,HPC,
Leap & Passport,Kiessling,Development,No,2468M22P01,Chentech,Stg 7 & Stg 8 for both,delivered,718,8,310,24,$11.78,"$7,583",,,,9sa31041," CHENTECH, firth",,,,,,,No,HPC,
Passport 20,Kiessling,Development,CANCELLED,2468M33P02,Chentech,stg 8,delivered,718,8,322,24,$11.78,"$7,800",,,,9sa31042,"CHENTECH,FIRTH,WGH",,,,,,,-,HPC,
Passport 20,Kiessling,Development,No,2471M25P01,Chentech,HPT Aft Seal,04/01/12,718,6,133,,,"$3,587",,,,,,,,,2471M24P01,,,-,HPT,
Passport 20,Kiessling,Development,No,2471M42P01,Chentech,HPT Rear Shaft,04/01/12,718,6,21,,,$830,,,,,,,,,2471M41P01,,,-,HPT,
Passport 20,Kiessling,Development,No,2471M49P01,Allvac,Tie Rod,05/01/12,718,N/A,,,,"$6,941",,,,,,,,,2471M27P01,,,-,Mounts,
Passport 20,Kiessling,Development,No,2490M07P01,FIRTH,STG7,30/30/12,718,8,146,18,,"$3,453",,,,,,,,,,,,-,HPC,
Passport 20,Kiessling,Development,No,2490M20P01,Chentech,Imp tube spt,30/30/12,718,8,36,18,,$963,,,,,,,,,2483M91P01,,,-,HPC,
Leap-1A/1B/1C,Lang,Development,No,2468M27P01,CTI,STG. 2 HPC Blisk,04/06/12,Ti 17,"10 ",208,28,,,,,,,"WGH,Chentech,Firth",,,,,,,No,HPC,
Leap-1A/1C,Lang,Development,No,2468M25P01,WGH,STG. 1 HPC Blisk,01/20/12,Ti 17,"10 ",400,24,$24.41,"$15,674",,,,9SA31317,"WGH,Chentech,Firth",,,,,,,No,HPC,
Passport 20,Lang,Development,No,2468M28P01,FIRTH,STG. 3/4 HPC Blisk,01/30/12,Ti 17,"10 ",388,30,$24.41,"$16,500",,,,9SA31356,"WGH,Chentech,Firth",,,,,,,No,HPC,
Leap-1B,Lang,Development,No,2468M25P02,WGH,STG. 1 HPC Blisk,09/30/12,Ti17,"10 ",400,,,,,,,,,,,,,,,,,
Leap-1B,Lang,Development,No,2468M28P02,FIRTH,STG. 3/4 HPC Blisk,03/15/13,Ti17,"10 ",388,,,,,,,,,,,,,,,,,
Passport 20,Lang,Development,No,2483M54P01,WGH,STG. 1 HPC Blisk,01/20/12,Ti 17,"10 ",320,24,$24.41,"$15,476",,,,9SA31320,"CHENTECH,FIRTH",,,,,,,-,HPC,
Passport 20,Lang,Development,No,2490M02P01,FIRTH,STG. 2 HPC Blisk,01/30/12,Ti 17,"8 ",153,18,$24.41,"$6,790",,,,9SA31357,"WGH,ELLWOOD,CHENTECH,FIRTH",,,,,,,-,HPC,
Passport 20,Lang,Development,No,2490M05P01,FIRTH,STG. 3 and 4 HPC Blisk,01/30/12,Ti 17,"8 ",133,36,$24.41,"$5,903",,,,9SA31358,"WGH,ELLWOOD,CHENTECH,FIRTH",,,,,,,-,HPC,
Passport 20,Lang,Development,No,2475M29P01,WGH,Fan Blisk Hub,03/15/12,Ti 17,"10 ",663,18,,,,,,,"WGH,ELLWOOD,CHENTECH,FIRTH",,,,2480M93G01,,,-,HPC,
Passport 20,Lang,Development,No,2094M39P01,ETF,Fwd. Mount Yoke,03/30/12,Ti 64,"10 ",324,18,,,,,,,"AD,ELLWOOD,Calam, Ladish",,,,2094M40G02,,,-,Mounts,
Passport 20,Lang,Development,No,2094M43P01,CTI,Link Pad,03/30/12,Ti64,"8 ",52,36,,,,,,,"AD,ELLWOOD,Calam, Ladish",,,,,,,-,Mounts,
Passport 20,Lang,Development,No,2094M66P01,ETF,Aft Mount Yoke,03/30/12,TI 64,"6 ",136,18,,,,,,,"AD,ELLWOOD,Calam, Ladish",,,,,,,-,Mounts,
Leap,Taylor,Development,No,2468M23P01,Chen-Tech,HPC S9 Disk,delivered,R65,"10 ",315,24,$37.33,"$17,449",,,,90A31212,"Chen-Tech, Firth, WGH, Ellwood",lowest bidder,,,,West Jeff.,Raul Fernandez,No,HPC,
Leap,Taylor,Development,No,2483M59P01,Chen-Tech,CDP Seal,07/15/12,R65,"8 ",169,22,$38.85,"$9,294",,,,9SA31282,"Chen-Tech, Firth (no quote), WGH, Ellwood",lowest bidder,"Coord memo received in May 2011, went out for quotes but Engineering wasn�t ready to place orders at that point. Drawing received on 11/16/11. RFQ is due on 12/06/11",,2466M58P01,TBD,Jade Watts,Yes,CDN,
Leap,Taylor,Development,No,2466M96P01,Chen Tech,Mid Seal,10/04/12,R65,"8 ",305,23,$38.55,"$17,350",,,,9SA31277,"Chen-Tech, Firth, WGH, Ellwood",within 25% of VE should cost,deal with Ladish to make more GEnx and GP parts,,2466M68P01,TBD,Ryan Klasmeier,Yes,HPT,
Leap,Taylor,Development,No,2466M53P01,Chen Tech,HPT S2 Disk,10/04/12,R65,"10 ",527,21,$38.55,"$27,586",,,,9SA31278,"Chen-Tech, Firth, WGH, Ellwood",within 25% of VE should cost,deal with Ladish to make more GEnx and GP parts,,2466M52P01,TBD,Brandon Reynolds,Yes,HPT,
Passport 20,Taylor,Development,No,2468M23P01,Chen Tech,HPC S9 Disk,delivered,R65,"10 ",310,12,$37.33,"$17,449",,,,90A31212,"Chen-Tech, Firth, WGH, Ellwood",lowest bidder,,,,West Jeff.,Raul Fernandez,-,HPC,
Passport 20,Taylor,Development,No,2471M17P01,Firth,Mid Seal,01/13/12,R65,"8 ",114,16,$38.85,"$7,929",,,,90A31217,"Chen-Tech, Firth, WGH, Ellwood",lowest bidder,,,2471M16P01,TBD,Tom Dole,-,HPT,
Passport 20,Taylor,Development,No,2471M20P01,Firth,HPT S2 Disk,01/13/12,R65,"8 ",159,13,$38.85,"$10,677",,,,90A31216,"Chen-Tech, Firth, WGH, Ellwood",lowest bidder,PO canceled and order picked up by TEI,,2471M19P01,TBD,Tom Dole,-,HPT,
Leap 1B,Bierman,Development,No,4013522-475P03,Schlosser Forge,TCF-Case,7/26/13,I718,12,787,25,$12.02,"$16,492.00 ",,,,90H11512 item 002,"Schlosser, Carlton",lowest bidder,Bolted Design�full H.T.,3/5/13,2521M13P01,EMO,Tod Bosel,,,
Leap 1B,Bierman,Development,No,4013522-476P03,Schlosser Forge,TCF-Mt Ring,7/26/13,I718,12,563,25,$12.02,"$10,121.00 ",,,,90H11512 item 004,"Schlosser, Carlton",lowest bidder,Bolted Design�full H.T.,3/5/13,2521M05G01,Satellite Tool,Tod Bosel,,,
Leap 1B,Bierman,Development,No,4013522-477P03,Schlosser Forge,TCF-Case,7/26/13,I718,12,787,25,$12.02,"$16,276.00 ",,,,90H11513 item 002,"Schlosser, Carlton",lowest bidder,Welded Design�no H.T.,3/5/13,2521M04G01,TBD,Tod Bosel,,,
Leap 1B,Bierman,Development,No,4013522-478P03,Schlosser Forge,TCF-Mt Ring,7/26/13,I718,12,563,25,$12.02,"$9,905.00 ",,,,90H11513 item 004,"Schlosser, Carlton",lowest bidder,Welded Design�no H.T.,3/5/13,2521M04G01,TBD,Tod Bosel,,,
Leap 1B,Bierman,Development,No,4013737-345P01,TBD,4R Stationary Oil Seal,9/9/13,I718,,,,,,,,,,"Firth, Carlton",bid close 4/12/13,,,,TBD,Kevin Leslie,,,
Leap 1B,Bierman,Development,No,4013737-346P01,TBD,4R Stationary Air Seal,9/9/13,A286,,,,,,,,,,"Firth, Carlton",bid close 4/12/13,,,,,Kevin Leslie,,,
