Engine Program,Sub Commodity Ldr,Production or Development,Any commitment for Production made?,Forging Part Number,Forging Supplier,Nomenclature,Alloy,Size,Weight,QTY,Billet Price,Price,$/Forging,Target Price,Target Weight,Target Billet Price,1=,Weight Savings,Finished P/N
Passport 20,Kiessling,Development,No,2471M25P01,Chentech,HPT Aft Seal,718,"10",133,0,$0.00,"$3,587",,,,,,#DIV/0!,2471M24P01
Passport 20,Kiessling,Development,No,2471M42P01,Chentech,HPT Rear Shaft,718,"10",21,0,$0.00,$830,,,,,,#DIV/0!,2471M41P01
Passport 20,Kiessling,Development,No,2471M49P01,Allvac,Tie Rod,718,"10",0,0,$0.00,"$6,941",,,,,,#DIV/0!,2471M27P01
Passport 20,Kiessling,Development,No,2490M07P01,FIRTH,STG7,718,"10",146,18,$0.00,"$3,453",,,,,,#DIV/0!,0
Passport 20,Kiessling,Development,No,2490M20P01,Chentech,Imp tube spt,718,"10",36,18,$0.00,$963,,,,,,#DIV/0!,2483M91P01
Leap-1A/1B/1C,Lang,Development,No,2468M27P01,CTI,STG. 2 HPC Blisk,Ti 17,"10",208,28,$0.00,$0,,,,,,#DIV/0!,0
Leap-1A/1C,Lang,Development,No,2468M25P01,WGH,STG. 1 HPC Blisk,Ti 17,"10",400,24,$24.41,"$15,674",,,,,,#DIV/0!,0
Leap-1B,Lang,Development,No,2468M28P02,FIRTH,STG. 3/4 HPC Blisk,Ti17,"10",388,0,$0.00,$0,,,,,,#DIV/0!,0
Passport 20,Lang,Development,No,2483M54P01,WGH,STG. 1 HPC Blisk,Ti 17,"10",320,24,$24.41,"$15,476",,,,,,#DIV/0!,0
Passport 20,Lang,Development,No,2490M02P01,FIRTH,STG. 2 HPC Blisk,Ti 17,"10",153,18,$24.41,"$6,790",,,,,,#DIV/0!,0
Passport 20,Lang,Development,No,2490M05P01,FIRTH,STG. 3 and 4 HPC Blisk,Ti 17,"10",133,36,$24.41,"$5,903",,,,,,#DIV/0!,0
Passport 20,Lang,Development,No,2475M29P01,WGH,Fan Blisk Hub,Ti 17,"10",663,18,$0.00,$0,,,,,,#DIV/0!,2480M93G01
Passport 20,Lang,Development,No,2094M39P01,ETF,Fwd. Mount Yoke,Ti 64,"10",324,18,$0.00,$0,,,,,,#DIV/0!,2094M40G02
Passport 20,Lang,Development,No,2094M43P01,CTI,Link Pad,Ti64,"10",52,36,$0.00,$0,,,,,,#DIV/0!,0
Passport 20,Lang,Development,No,2094M66P01,ETF,Aft Mount Yoke,TI 64,"10",136,18,$0.00,$0,,,,,,#DIV/0!,0
Leap,Taylor,Development,No,2468M23P01,Chen-Tech,HPC S9 Disk,R65,"10",315,24,$37.33,"$17,449",,,,,,#DIV/0!,0
Leap,Taylor,Development,No,2483M59P01,Chen-Tech,CDP Seal,R65,"10",169,22,$38.85,"$9,294",,,,,,#DIV/0!,2466M58P01
Leap,Taylor,Development,No,2466M96P01,Chen Tech,Mid Seal,R65,"10",305,23,$38.55,"$17,350",,,,,,#DIV/0!,2466M68P01
Leap,Taylor,Development,No,2466M53P01,Chen Tech,HPT S2 Disk,R65,"10",527,21,$38.55,"$27,586",,,,,,#DIV/0!,2466M52P01
Passport 20,Taylor,Development,No,2468M23P01,Chen Tech,HPC S9 Disk,R65,"10",310,12,$37.33,"$17,449",,,,,,#DIV/0!,0
Passport 20,Taylor,Development,No,2471M17P01,Firth,Mid Seal,R65,"10",114,16,$38.85,"$7,929",,,,,,#DIV/0!,2471M16P01
Passport 20,Taylor,Development,No,2471M20P01,Firth,HPT S2 Disk,R65,"8",159,13,$38.85,"$10,677",,,,,,,2471M19P01
Leap 1B,Bierman,Development,No,4013522-475P03,Schlosser Forge,TCF-Case,I718,12,787,25,$12.02,"$16,492",Which is the final design?,,,,,,2521M13P01
Leap 1B,Bierman,Development,No,4013522-476P03,Schlosser Forge,TCF-Mt Ring,I718,12,563,25,$12.02,"$10,121",Which is the final design?,,,,,,2521M05G01
Leap 1B,Bierman,Development,No,4013522-477P03,Schlosser Forge,TCF-Case,I718,12,787,25,$12.02,"$16,276",Which is the final design?,,,,,,2521M04G01
Leap 1B,Bierman,Development,No,4013522-478P03,Schlosser Forge,TCF-Mt Ring,I718,12,563,25,$12.02,"$9,905",Which is the final design?,,,,,,2521M04G01
